"dummy_id","id","user","languages","notes"
"1","16","alan","English|5",""
"2","12","berta","English|5",""
"3","22","bridget","English|5",""
"4","14","charlie","English|5",""
"5","11","chelsea","English|5",""
"6","23","eldridge","English|5",""
"7","20","evelyn","English|5",""
"8","7","herb","English|5,Czech|2","who knew"
"10","15","jake","English|5",""
"11","9","judith","English|5",""
"12","10","kandi","English|4",""
"13","8","lyndsey","English|5",""
"14","21","rose","English|5",""
"15","13","walden","English|5,German|3",""
"17","24","zoey","French|4,English|5",""
